entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
SUB_US,1000,,,#,#,1000000.00,1000000.00,USD
SUB_US,1100,,,#,#,1300000.00,1300000.00,USD
SUB_US,1110,,JV_SA,#,#,475000.00,475000.00,USD
SUB_US,1200,,,#,#,650000.00,650000.00,USD
SUB_US,1400,199,,#,#,3100000.00,3100000.00,USD
SUB_US,1410,199,,#,#,-1200000.00,-1200000.00,USD
SUB_US,2000,,,#,#,-850000.00,-850000.00,USD
SUB_US,2220,,PARENT,#,#,-2000000.00,-2000000.00,USD
SUB_US,3000,199,,#,#,-1000000.00,-1000000.00,USD
SUB_US,3100,199,,#,#,-1115000.00,-1115000.00,USD
SUB_US,4000,,,#,#,-3400000.00,-3400000.00,USD
SUB_US,5000,,,#,#,2050000.00,2050000.00,USD
SUB_US,5100,,,#,#,675000.00,675000.00,USD
SUB_US,5500,,,#,#,150000.00,150000.00,USD
SUB_US,5600,,PARENT,#,#,60000.00,60000.00,USD
SUB_US,5900,,,#,#,105000.00,105000.00,USD
